start	end	mention	_class	labels
0	27	Craniofrontonasal dysplasia	SpecificDisease	C536456
61	88	craniofrontonasal dysplasia	SpecificDisease	C536456
90	94	CFND	SpecificDisease	C536456
153	174	frontonasal dysplasia	SpecificDisease	C538065
179	203	coronal craniosynostosis	SpecificDisease	C537369
205	231	Extracranial abnormalities	DiseaseClass	D009139
240	289	brittle nails with prominent longitudinal grooves	SpecificDisease	D009260
293	323	syndactyly of fingers and toes	CompositeMention	D013576
535	544	Hypotonia	SpecificDisease	D009123
549	565	laxity of joints	SpecificDisease	C535884
623	642	developmental delay	DiseaseClass	D002658
732	750	X-linked disorders	DiseaseClass	D040181
775	779	CFND	SpecificDisease	C536456
