start	end	mention	_class	labels
0	17	Knobloch syndrome	SpecificDisease	C537209
28	70	midline scalp defect of the frontal region	DiseaseClass	C538225
107	124	Knobloch syndrome	SpecificDisease	C537209
133	159	vitreoretinal degeneration	SpecificDisease	D012162
161	172	high myopia	SpecificDisease	D009216
174	182	cataract	SpecificDisease	D002386
184	195	telecanthus	SpecificDisease	D030342
197	210	hypertelorism	SpecificDisease	D006972
218	236	high-arched palate	SpecificDisease	D007569
252	288	defect of the anterior midline scalp	DiseaseClass	C538225
630	651	midline scalp defects	DiseaseClass	C538225
