start	end	mention	_class	labels
107	137	Penicillium camemberti  FM 013	Microorganism	1429867
467	494	Arthrobacter bergerei Ca106	Microorganism	1255621
576	589	Psychrobacter	Microorganism	497
720	746	Streptococcus thermophilus	Microorganism	1308
751	776	Lactobacillus delbrueckii	Microorganism	1584
872	890	Lactococcus lactis	Microorganism	1358
1014	1037	Psychrobacter aquimaris	Microorganism	292733
1039	1069	Brachybacterium tyrofermentans	Microorganism	47848
1071	1099	Corynebacterium ammoniagenes	Microorganism	1697
1101	1124	Brevibacterium antiquum	Microorganism	234835
1126	1152	Microbacterium gubbeenense	Microorganism	159896
1154	1179	Brochothrix thermosphacta	Microorganism	2756
1184	1219	Marinilactibacillus psychrotolerans	Microorganism	191770
